s,d_b,h_x
0.2777777777777778,0.0,0.0
0.2777777777777778,0.1111111111111111,0.0
0.2777777777777778,0.2222222222222222,1.0
0.2777777777777778,0.3333333333333333,1.0
0.2777777777777778,0.4444444444444444,1.0
0.2777777777777778,0.5555555555555556,1.0
0.2777777777777778,0.6666666666666666,1.0
0.2777777777777778,0.7777777777777778,1.0
0.2777777777777778,0.8888888888888888,1.0
0.2777777777777778,1.0,1.0
0.36666666666666664,0.0,0.0
0.36666666666666664,0.1111111111111111,0.0
0.36666666666666664,0.2222222222222222,0.8061383587178783
0.36666666666666664,0.3333333333333333,0.8556478146464057
0.36666666666666664,0.4444444444444444,0.897295369221957
0.36666666666666664,0.5555555555555556,0.933496035261189
0.36666666666666664,0.6666666666666666,0.9655934066464675
0.36666666666666664,0.7777777777777778,0.9945438545769991
0.36666666666666664,0.8888888888888888,1.0
0.36666666666666664,1.0,1.0
0.45555555555555555,0.0,0.0
0.45555555555555555,0.1111111111111111,0.0
0.45555555555555555,0.2222222222222222,0.6508531969747654
0.45555555555555555,0.3333333333333333,0.7242858287534022
0.45555555555555555,0.4444444444444444,0.7809404008115292
0.45555555555555555,0.5555555555555556,0.827606836086623
0.45555555555555555,0.6666666666666666,0.8675605778543704
0.45555555555555555,0.7777777777777778,0.9025924513321277
0.45555555555555555,0.8888888888888888,0.9338857203623002
0.45555555555555555,1.0,0.9621791268424664
0.5444444444444444,0.0,0.0
0.5444444444444444,0.1111111111111111,0.3744079513943519
0.5444444444444444,0.2222222222222222,0.5522522386208103
0.5444444444444444,0.3333333333333333,0.6487569952364782
0.5444444444444444,0.4444444444444444,0.7185200244861865
0.5444444444444444,0.5555555555555556,0.7739515013387621
0.5444444444444444,0.6666666666666666,0.8202521399152678
0.5444444444444444,0.7777777777777778,0.8601359551077614
0.5444444444444444,0.8888888888888888,0.8952539394520114
0.5444444444444444,1.0,0.9266788442729258
0.6333333333333333,0.0,0.0
0.6333333333333333,0.1111111111111111,0.3005081980498542
0.6333333333333333,0.2222222222222222,0.5149092113127727
0.6333333333333333,0.3333333333333333,0.6262627733757392
0.6333333333333333,0.4444444444444444,0.7049677499675336
0.6333333333333333,0.5555555555555556,0.7665284755803153
0.6333333333333333,0.6666666666666666,0.8173392115649145
0.6333333333333333,0.7777777777777778,0.8607103027853378
0.6333333333333333,0.8888888888888888,0.8986011031539212
0.6333333333333333,1.0,0.9322793690340916
0.7222222222222222,0.0,0.0
0.7222222222222222,0.1111111111111111,0.315899097633514
0.7222222222222222,0.2222222222222222,0.5334887371490287
0.7222222222222222,0.3333333333333333,0.6528887744270406
0.7222222222222222,0.4444444444444444,0.7373294603836317
0.7222222222222222,0.5555555555555556,0.8030822707625999
0.7222222222222222,0.6666666666666666,0.8570923909217182
0.7222222222222222,0.7777777777777778,0.9029696437139246
0.7222222222222222,0.8888888888888888,0.9428813787070228
0.7222222222222222,1.0,0.9782038526630258
0.8111111111111111,0.0,0.0
0.8111111111111111,0.1111111111111111,0.3932875470325628
0.8111111111111111,0.2222222222222222,0.6106172128613194
0.8111111111111111,0.3333333333333333,0.7353802674840508
0.8111111111111111,0.4444444444444444,0.8239623226904786
0.8111111111111111,0.5555555555555556,0.8928326508070572
0.8111111111111111,0.6666666666666666,0.9492301168040146
0.8111111111111111,0.7777777777777778,0.9970020534830922
0.8111111111111111,0.8888888888888888,1.0
0.8111111111111111,1.0,1.0
0.9,0.0,0.0
0.9,0.1111111111111111,0.5653504995329185
0.9,0.2222222222222222,0.7868823938807584
0.9,0.3333333333333333,0.9164138374070846
0.9,0.4444444444444444,1.0
0.9,0.5555555555555556,1.0
0.9,0.6666666666666666,1.0
0.9,0.7777777777777778,1.0
0.9,0.8888888888888888,1.0
0.9,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
