s_x,P,P2,d_b,h_x,h_y,parameters
0.1988888888888889,0.2670378669597569,0.26703788877227014,0.5555555555555556,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378610880066,0.2670378786659825,0.6666666666666666,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378653452441,0.26703788603934375,0.7777777777777778,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703787592062134,0.26703788365726294,0.8888888888888888,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703789444640597,0.2670378819090274,1.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.2340743266306708,0.1383633171232752,0.0,1.0,0.9224630266575181,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407431868700215,0.1346552442795682,0.1111111111111111,1.0,0.933815686101833,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407432169911124,0.1311155420127876,0.2222222222222222,1.0,0.944709694299961,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407432971230166,0.12773453686632377,0.3333333333333333,1.0,0.955181546329561,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.2340743376915851,0.12450311364515003,0.4444444444444444,1.0,0.9652633873844161,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
