P1,d_b,h_x
0.8666671898708123,0.0,0.0
0.8666671883299999,0.1111111111111111,0.0
0.8666671834605769,0.2222222222222222,1.0
0.8666671865732767,0.3333333333333333,1.0
0.866667179564466,0.4444444444444444,1.0
0.8666671951564818,0.5555555555555556,1.0
0.866667197007536,0.6666666666666666,1.0
0.8666671872214776,0.7777777777777778,1.0
0.8666671799113044,0.8888888888888888,1.0
0.8666671802250698,1.0,1.0
0.7600000927366843,0.0,0.0
0.7600000897449366,0.1111111111111111,0.0
0.7600000919378921,0.2222222222222222,0.8061278574256149
0.7600000888002665,0.3333333333333333,0.8556475153145819
0.7600000806275371,0.4444444444444444,0.8973054244336705
0.7600000827428313,0.5555555555555556,0.933485854258162
0.7600000845108792,0.6666666666666666,0.9655935134424874
0.7600000914824053,0.7777777777777778,0.9945333593537691
0.7600000902102529,0.8888888888888888,1.0
0.7600000923149669,1.0,1.0
0.6533333658349237,0.0,0.0
0.653333368289868,0.1111111111111111,0.0
0.6533333696709078,0.2222222222222222,0.6508428205137469
0.6533333675388139,0.3333333333333333,0.7242753007391572
0.6533333682230442,0.4444444444444444,0.7809405713366152
0.6533333703851443,0.5555555555555556,0.8276065677398781
0.6533333645785853,0.6666666666666666,0.8675606266327187
0.6533333672718078,0.7777777777777778,0.9026023467435362
0.6533333683878706,0.8888888888888888,0.9338856998954875
0.6533333668360857,1.0,0.9622093178284018
0.5466666829407948,0.0,0.0
0.5466666823339139,0.1111111111111111,0.37440695312829947
0.5466666826202398,0.2222222222222222,0.5522523811244145
0.5466666828434907,0.3333333333333333,0.6487573838777796
0.546666681842737,0.4444444444444444,0.7185202551938303
0.5466666825730482,0.5555555555555556,0.7739513521968823
0.5466666812213363,0.6666666666666666,0.8202521940838816
0.5466666835103726,0.7777777777777778,0.8601360267387005
0.5466666827057833,0.8888888888888888,0.8952637929311834
0.5466666811436032,1.0,0.9266787971921008
0.44000000776387016,0.0,0.0
0.44000000776232684,0.1111111111111111,0.30050830043206117
0.440000007805325,0.2222222222222222,0.5149088999429928
0.44000000711575826,0.3333333333333333,0.6262627017230166
0.4400000072202388,0.4444444444444444,0.7049674960342898
0.44000000822134655,0.5555555555555556,0.7665286093940096
0.44000000727841204,0.6666666666666666,0.8173392107805038
0.44000000725910016,0.7777777777777778,0.860710323337577
0.4400000074909426,0.8888888888888888,0.8986010942309824
0.44000000814839857,1.0,0.9322793859133593
0.3333333369648185,0.0,0.0
0.3333333365884855,0.1111111111111111,0.31590885442623357
0.33333333672824295,0.2222222222222222,0.5334887292198944
0.3333333368030569,0.3333333333333333,0.6528885788578649
0.3333333365878207,0.4444444444444444,0.7373294500799762
0.333333336659296,0.5555555555555556,0.8030822763214461
0.33333333669411025,0.6666666666666666,0.8570924377754482
0.3333333367300043,0.7777777777777778,0.9029695747032924
0.3333333369232787,0.8888888888888888,0.9428813636929301
0.33333333689898403,1.0,0.978203690387466
0.2266666679796746,0.0,0.0
0.226666667927217,0.1111111111111111,0.3932872559497079
0.22666666797392043,0.2222222222222222,0.6106173524664648
0.22666666796578272,0.3333333333333333,0.7353799676756675
0.2266666680416558,0.4444444444444444,0.8239525268895423
0.22666666798797896,0.5555555555555556,0.8928424682130933
0.22666666800423063,0.6666666666666666,0.9492396636286052
0.22666666796100732,0.7777777777777778,0.9970020825308121
0.22666666793208323,0.8888888888888888,1.0
0.2266666679763305,1.0,1.0
0.12000000032037461,0.0,0.0
0.12000000030918434,0.1111111111111111,0.5653502722014788
0.1200000003177395,0.2222222222222222,0.7868818235380861
0.12000000030844271,0.3333333333333333,0.916403565755987
0.12000000031840308,0.4444444444444444,1.0
0.1200000003180951,0.5555555555555556,1.0
0.12000000030678248,0.6666666666666666,1.0
0.12000000030743863,0.7777777777777778,1.0
0.12000000031493108,0.8888888888888888,1.0
0.1200000003202133,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
